Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price,marka
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,90 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/victus-15-fa1025nt-core-i5-13500h-16gb-512gb-ssd-6gb-rtx-4050-15-6-w11-mika-gumus-7n9t3ea-p-773620973,29.694 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/cyborg-15-a12vf-077xtr-i5-12450h-16gb-ddr5-rtx4060-gddr6-8gb-1tb-ssd-15-6-fhd-144hz-dos-p-730306217,35.293 TL,MSI
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,Anti-Glare,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1200,WUXGA,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-amd-ryzen-5-6600h-16gb-512gb-rtx3050-16-wuxga-165hz-gaming-notebook-82sc0098tx-p-780224610,23.999 TL,LENOVO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/rog-strix-scar-18-g834jy-n6079-16gb-rtx4090-13-nesil-i9-13980hx-64gb-2tb-ssd-18-qhd-240hz-p-677944043,150.999 TL,ASUS
,HDMI,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro-5-intel-core-i5-12500h-8gb-512gb-ssd-4gb-rtx3050ti-dos-15-6-fhd-gaming-laptop-nh-qfley-004-p-448144711,24.775 TL,ACER
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.5,,,IPS,8 GB,DDR5,Siyah,512 GB,,,,1920 x 1200,WUXGA,7535HS,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//acer/nitro-16-an16-416-amd-ryzen-5-7535hs-8-gb-512-gb-ssd-rtx-4050-6-gb-freedos-16-wuxga-165-hz-tas-p-769714694,28.199 TL,ACER
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,TN,8 GB,DDR4,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-1-15alc7-ryzen-7-5700u-8gb-256gb-ssd-15-6-fhd-freedos-82r4006etr-p-739210717,"11.949,99 TL",LENOVO
16 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Gri,512 GB,Gen 3,,3.3,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988,24.999 TL,LENOVO
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1200,WUXGA,12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//asus/vivobook-16x-k3605zc-n1013w-i5-12450h-8gb-512ssd-rtx3050-16-fullhd-w11h-tasinabilir-bilgisaya-p-753697054,23.999 TL,ASUS
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i7-12700h-8gb-1tb-ssd-8gb-rtx4060-dos-15-6-gaming-laptop-acer-turkiye-garantili-p-741177833,33.990 TL,ACER
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,,IPS,8 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//lenovo/loq-12-nesil-core-i5-12450h-rtx3050-6gb-8gb-512gb-ssd-15-6-w11-p-779236201,25.999 TL,LENOVO
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/fx506hf-hn028w-tuf-core-i5-11400h-islemci-8gb-ram-512gb-ssd-rtx2050-ekran-karti-15-6-win11-gaming-l-p-675771120,23.999 TL,ASUS
16 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.2,,,IPS,8 GB,DDR4,Siyah,512 GB,,,2.2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,4-6 Saat,https://www.trendyol.com//acer/nitro-5-an515-58-544k-intel-i5-12450h-8gb-512gb-rtx3050-15-6-fhd-144hz-freedos-nh-qfjey-007-p-772974544,22.950 TL,ACER
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0022nt-r7-7840hs-16gb-512gb-ssd-rtx4050-6gb-dos-16-1-144hz-notebook-7z588ea-p-739506836,30.799 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp053-amd-r7-7735hs-8gb-512gb-ssd-rtx4050-144-hz-dos-15-6-fhd-p-654338236,29.949 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,5.0,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,2560 x 1440,QHD,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0001nt-r7-7840hs-32gb-1tb-ssd-rtx4070-8gb-freedos-16-1-240-hz-qhd-notebook-7z4l9ea-p-739863315,49.999 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.6,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-4-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-736035477,30.999 TL,Monster
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,TN,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),7535HS,5. Nesil,AMD Ryzen 5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/bravo-15-c7ve-062xtr-amd-ryzen-5-7535hs-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-743648749,34.464 TL,MSI
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//hp/victus-16-r0035nt-intel-i5-13500h-ddr5-16gb-1tb-ssd-gen4-8gb-rtx-4060-16-1-freedos-laptop-7p6l3ea-p-706057652,36.099 TL,HP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/vr-ready-predator-triton-17-250hz-gaming-laptop-i9-13900hx-16gb-geforce-rtx-4090-2tb-ssd-siyah-p-788781337,175.000 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dfb0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672152985,32.899 TL,Casper
32 GB,USB,,4 kg ve Üstü,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),i7-11370H,12. Nesil,Intel Core i7,24,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//msi/cyborg-15-a12ve-216xtr-i7-12650h-rtx4050-4gb-15-6-fhd-144hz-16gb-ram-1tb-ssd-dos-p-775444088,49.999 TL,MSI
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0006nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-16-1-144hz-8gb-rtx-4070-freedos-7p632ea-p-738804739,45.599 TL,HP
,Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1200,FHD+,13650HX,13. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jv-n3157-13-nesil-intel-i7-13650hx-16gb-512gb-ssd-8gb-rtx4060-16-fhd-165hz-p-660265163,"51.405,32 TL",ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/tuf-gaming-f15-i7-12700h-32gb-1tb-ssd-rtx3050-4gb-w11p-15-6-fhd-fx507zc4-hn009-p-674176805,40.400 TL,ASUS
32 GB,HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.9,,Yok,IPS,16 GB,DDR5,Siyah,512 GB,,,2.6,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406,41.299 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-4-intel-core-i5-12450h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-760273029,28.699 TL,Monster
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0046nt-892p4ea-amd-ryzen-7-7840hs-32gb-ram-1tb-ssd-geforce-rtx-4060-16-1-fhd-dos-144hz-p-759063449,41.499 TL,HP
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//dell/gaming-g15-5530-g155530013u-i7-13650hx-16gb-ddr5-1tb-ssd-rtx4060-8gb-fhd-ubuntu-gaming-laptop-p-750510203,40.609 TL,Dell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/creator-pro-x17hx-a13vks-211tr-i9-13980hx-64gb-ddr5-rtx3500-gddr6-12gb-4tb-ssd-17-3-uhd-144hz-w11p-p-710587317,173.279 TL,MSI
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR6,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i7-11390h-16gb-512gb-ssd-rtx-3050ti-freedos-15-6-fhd-p-266431996,31.999 TL,LENOVO
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3070Ti,DDR5,8 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Siyah,1 TB,,,3.2,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-an515-46-amd-ryzen-7-6800h-32-gb-1-tb-ssd-rtx-3070ti-8-gb-freedos-15-6-fhd-144-hz-tasi-p-756652764,35.849 TL,ACER
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dfa0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672168438,29.699 TL,Casper
,,,2 - 4 kg,Var,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR5,Mavi,SSD Yok,,,,3840 x 2160,FHD+,12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//asus/zenbook-pro-duo-oled-12-nesil-core-i7-12700h-32gb-1tb-15-6-rtx3060-6gb-w11-p-355657108,184.999 TL,ASUS
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-5-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-15-6-fhd-144-hz-p-745868600,39.999 TL,Monster
32 GB,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,Yok,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-15iah7-82s900ubtx-i5-12500h-16-gb-512-gb-ssd-rtx3060-15-6-dos-dizustu-bilgisayar-p-686325051,27.999 TL,LENOVO
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-16gb-1tbssd-rtx4060-dos-16-1-fhd-144hz-notebook-7z4m8ea-p-738421982,33.499 TL,HP
128 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,512 GB,Gen 3,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/katana-gf66-11ue-1019xtr-i5-11400h-16gb-ddr4-rtx3060-gddr6-6gb-512gb-ssd-15-6-fhd-144hz-dos-p-767932529,30.349 TL,MSI
16 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,16 GB,DDR4,Siyah,512 GB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-i5-12450h-16gb-512gb-ssd-4gb-rtx-3050-ti-15-6-fhd-fdos-82s9013vtx-p-739407614,25.718 TL,LENOVO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g770-1265-dfj0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975792,28.399 TL,Casper
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp05116-ryzen-7-7735hs-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-780567982,32.799 TL,ASUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//casper/excalibur-g770-1245-bfh0x-b-intel-core-i5-12450h-16-gb-ram-1-tb-nvme-ssd-gen4-4gb-gtx-1650-freedos-p-358993558,22.999 TL,Casper
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-139h-8v00x-g-f-intel-core-i7-11390h-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800488,14.199 TL,Casper
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,Gen 4,,3.2,1920 x 1080,Full HD (FHD),7735HS,13. Nesil,AMD Ryzen 7,16,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nv-lp038-amd-ryzen-7-7735hs-16gb-ddr5-512gb-ssd-8gb-rtx4060-15-6-144hz-dos-p-714314500,42.999 TL,ASUS
,HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0029nt-intel-i7-13700h-ddr5-16gb-1tb-ssd-gen4-6gb-rtx-4050-16-1-freedos-laptop-7p6c1ea-p-736351908,36.099 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,1 TB,Gen 4,,,1920 x 1200,FHD+,13700HX,13. Nesil,Intel Core i7,16,Windows,,https://www.trendyol.com//msi/vector-gp68hx-13vh-208tr-i7-13700hx-16gb-ddr5-1tb-ssd-12gb-rtx4080-16-fhd-144hz-win11-gaming-p-750834706,71.999 TL,MSI
,Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),660,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-s0023nt-7z4n1ea-8gb-rtx4060-ryzen-5-7640hs-16gb-ram-512gb-ssd-16-1-inc-fhd-144hz-p-739046709,33.499 TL,HP
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,32 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp05132-ryzen-7-7735hs-32gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-780568351,33.999 TL,ASUS
